file,attempt,concept_1_read,concept_2_idea,concept_5_brand,concept_6_send,concept_7_unique,r1_read,r2_idea,r3_craft,r4_smooth_loop,r5_brand,r6_send,r7_unique,render_sum,status,history
109-bills,1,4,5,5,5,5,4 (к.30 пачка+купюра),5 (к.30-90 купюры-птицы),"4 (отгиб, складка, взмахи)",5 (шов 0),5 (X на купюрах),5 («деньги ушли»),5 (складка-взмах),33,PASS,v2 без правок
52-psp,2,4,5,5,4,5,4 (к.0 PSP с игрой),"5 (к.0-110 понг, к.112 XTC)","4 (кнопки в такт ударам, крен ±3)",5 (шов 0),5 (PSP мини-аппа),4 («залипаю»),5 (игра внутри дырки),32,PASS,v2 экран мигал лого → понг в экране-дырке
53-bag-xtc,1,5,4,5,4,5,5 (к.0 сумка XTC),4 (к.14-62 закрутка 410°),4 (маятник + раскрутка),5 (шов 0),5 (сумка бренда),4 («мерч»),5 (висит и раскручивается),32,PASS,v2 без правок
29-drip-xtc,1,5,4,5,4,4,5 (к.0 XTC с подтёками),"4 (желе, капли)",4 (сдвиг букв 8f),5 (шов 0),5 (лого + подтёки),4 («сочно»),4 (подтёки-капли),31,PASS,v2 без правок
51-latex-heart,1,5,4,5,4,4,5 (к.0 глянцевое сердце),4 (к.50-80 блик),4 (досадка 5 шагов),5 (шов 0),5 (LATEXX глянец),4 (к.70 блик),4 (бегущий блик),31,PASS,v2 без правок
20-split-pill,1,4,5,5,4,5,4 (к.0 половинки),5 (к.65 щёлк),4 (медленно→резко),5 (шов 0.98%),5 (X-таблетка),4 («мэтч»),5 (магнит один),32,PASS,v2 без правок
16-heart-pill,1,5,4,4,4,4,5 (к.0 сердце-таблетка X),4 (к.47 шлепок 128/76),"5 (7 колебаний, лаг X 2f)",5 (шов 0),"4 (X-лого, ✦)",4 (мармеладно),4 (желе),31,PASS,v2 без правок
33-kao-xx,2,5,4,5,5,5,5 (к.0 X_X),4 (к.34 удар сверху),"4 (блин 110/66, 3 качания)",5 (шов 0),5 (глаза = логотип X),5 («вырубило»),5 (блин-удар),33,PASS,"v3.2 RESTORE: глаза → логотипные X, рот «_»"
56-sob,1,5,4,4,5,4,5 (к.0 T_T ручьи),4 (всхлипы 3×),"4 (капли wrap, лаг рта 4f)",5 (капли бесшовно),4 (подтёки бренда),5 («рыдаю»),4 (непрерывные ручьи),31,PASS,v2 без правок
87-cross,1,5,4,5,5,4,5 (к.0 X из ремней),4 (к.18 оттиск),4 (107/93 1f),5 (шов 0),5 (ремень с люверсами),5 («отказано»),4 (штамп с оттиском),32,PASS,v2 без правок
90-sparkles,2,4,4,5,4,5,4 (к.0 хром-кольцо),"4 (к.18-74 оборот, к.72-88 ✦)","4 (разгон (0.35,0,0.14,1), торец)",5 (шов 0 (720°)),5 (хром-люверс),4 («блеск»),5 (✦ вырезами по кромке),31,PASS,v3 заново: три ✦ без материала → хром-люверс
84-fire,2,4,4,5,4,5,4 (к.0 пламя),"4 (к.48 присел, к.56 вспышка)","4 (угли 18-22px, сдвиг 2-3f)","5 (морф 4f, шов 0.7%)",5 (X в сердцевине),4 («пушка»),5 (морф силуэта),31,PASS,v3: угли крупнее и меньше (7 вместо 9)
111-siren,1,5,4,5,4,4,5 (к.27 купол и лучи),4 (лучи в такт X),4 (подскок),5 (шов 0),5 (X-отражатель),4 («срочно»),4 (синхрон с оборотом),31,PASS,v2 без правок
10-club-key,2,4,4,4,5,5,4 (к.0 ключ-сердце),4 (поворот в замке к.62-84),4 (перелёт 96→90°),5 (шов 0.06%),"4 (X в головке (лого), люверс)",5 (клиент: «ключ оч нрав»),5 (замок + инерция),31,PASS,v3.1 RESTORE по просьбе клиента
21-teddy-skull,3,5,4,5,5,4,5 (к.0 мишка + кости),4 (хедбэнг к.65),4 (лаг ушей 4f),5 (шов 0),"5 (наш персонаж, глаза лого-X)",5 («наш челикс»),4 (кивки под бит),32,PASS,"v3.1 RESTORE, глаза = логотип"
26-tribal-heart,2,4,4,5,5,4,4 (к.0 трайбл-сердце),4 (рога лижут как пламя),"4 (stagger 5f, угли)",5 (шов 0),5 (трайбл v1),5 (клиент просил вернуть: «сигилы/трайбл нравились»),4 (пламя-завитки),31,PASS,v3.1 RESTORE
04-tramp-stamp,1,4,4,5,5,4,4 (к.0 крылатое сердце X),4 (взмахи к.20/34),4 (лаг перьев 2f),5 (шов 0),5 (трайбл v1 + X),5 (клиент просил вернуть: «сигилы/трайбл нравились»),4 (ритм взмахов),31,PASS,v3.1 RESTORE
22-kiss-less3,2,5,5,4,5,5,5 (к.0 «<3»),5 (морф в ♥ к.54-67),"4 (антиц., удар 114%)",5 (морф чистый),4 (блик по ♥ к.70-92),5 (<3→♥),5 (морф текста),33,PASS,v3: блик вместо ✦
03-sigil-x,1,4,4,5,4,5,4 (к.0 паук),4 (к.62 срыв на нити),4 (trim нити синхронно),5 (шов 0),5 (X-сигил v1),4 (срыв),5 (нить одна),31,PASS,v3.1 RESTORE
43-scorpion-sigil,2,4,4,5,5,4,4 (к.0 скорпион),4 (взвод → удар к.60),"4 (strike-кривая, клешни)",5 (шов 0),5 (сигил v1),5 (клиент просил вернуть: «сигилы/трайбл нравились»),4 (удар жалом),31,PASS,v3.1 RESTORE
27-tribal-eye,1,4,4,5,5,4,4 (к.0 око с лучами),4 (закрылось → распахнулось),4 (лучи trim stagger 2f),5 (шов 0),5 (трайбл + X-зрачок),5 (клиент просил вернуть: «сигилы/трайбл нравились»),4 (поворот X-зрачка),31,PASS,v3.1 RESTORE
28-tribal-cross,2,5,4,5,4,4,5 (к.0 готический крест),4 (сбор в центр → выстрел),4 (stagger 5f),5 (шов 0),5 (готика v1),4 («аминь»),4 (сжатие-выстрел),31,PASS,v3.1 RESTORE
17-winged-x,2,4,4,5,5,4,4 (к.0 X с крыльями),"4 (антиц. к.26, взлёт к.32)",4 (перья лаг 2-8f),5 (шов 0),5 (X-лого крылья),5 (клиент просил вернуть: «сигилы/трайбл нравились»),4 (волна по крылу),31,PASS,v3.1 RESTORE
18-spike-collar,1,4,4,5,4,5,4 (к.0 ошейник),4 (рывок поводка к.10),4 (маятник 20f),5 (шов 0),5 (шипы + сердце-жетон),4 («на поводке»),5 (маятник-жетон),31,PASS,v3.1 RESTORE
13-dagger-cross,1,4,5,4,4,5,4 (к.0 кинжал),5 (к.43 вонзился),5 (твэнг 13°→0 шаг 3f),5 (шов 0),4 (✦-навершие),4 («твэнг»),5 (фантомы),32,PASS,v2 без правок
19-thorn-star,1,5,4,4,4,5,5 (к.0 звезда X),4 (подброс 720°),"4 (торец, посадка)",5 (шов 0),"4 (X, ✦)",4 («топ»),5 (флип по горизонтали),31,PASS,v2 без правок
41-patch-x,1,5,4,4,4,5,5 (к.0 пластырь X),4 (шлепок → блин),"4 (slam 110/90, 360)",5 (шов 0),4 (X-лого),4 («заживёт»),5 (флип по длинной оси),31,PASS,v2 без правок
32-swallow,1,4,5,4,4,5,4 (к.0 ласточка),5 (мёртвая петля),4 (крен по касательной),5 (шов hold),4 (тату v1),4 («свобода»),5 (петля одна),31,PASS,v2 без правок
25-mask-glyphs,1,5,4,4,4,5,5 (к.0 маска),"4 (поворот, глаза в прорезях)",4 (параллакс 22px),5 (шов 0),4 (X на лбу),4 («хоррор»),5 (глаза из прорезей),31,PASS,v2 без правок
02-acid-xx,,,,,,,,,,,,,,,CUT,CUT v3.2: смайлы «очень плохие»
139-xx,,,,,,,,,,,,,,,CUT,CUT v3.2: смайлы
140-laugh,,,,,,,,,,,,,,,CUT,CUT v3.2: смайлы
141-cry,,,,,,,,,,,,,,,CUT,CUT v3.2: смайлы
142-cool,,,,,,,,,,,,,,,CUT,CUT v3.2: смайлы
143-melt,,,,,,,,,,,,,,,CUT,CUT v3.2: смайлы
114-headphones,,,,,,,,,,,,,,,CUT,CUT v3.2: «плохие»
14-barbed-heart,,,,,,,,,,,,,,,CUT,CUT v3.2: под вопросом
15-dagger-heart,,,,,,,,,,,,,,,CUT,CUT v3.2: под вопросом
54-laugh,,,,,,,,,,,,,,,CUT,CUT v3.1: kaomoji → 140
57-plead,,,,,,,,,,,,,,,CUT,CUT v3.1: kaomoji
58-heart-eyes,,,,,,,,,,,,,,,CUT,CUT v3.1: kaomoji
59-kiss,,,,,,,,,,,,,,,CUT,CUT v3.1: kaomoji
60-rage,,,,,,,,,,,,,,,CUT,CUT v3.1: kaomoji
61-swear,,,,,,,,,,,,,,,CUT,CUT v3.1: kaomoji
68-cool,,,,,,,,,,,,,,,CUT,CUT v3.1: → 142
72-skull,,,,,,,,,,,,,,,CUT,CUT v3.1: → 21 мишка
73-melt,,,,,,,,,,,,,,,CUT,CUT v3.1: → 143
75-mind-blown,,,,,,,,,,,,,,,CUT,CUT v3.1: kaomoji «0_0»
83-eyes,,,,,,,,,,,,,,,CUT,CUT v3.1: «0_0»
102-zipper-mouth,,,,,,,,,,,,,,,CUT,CUT v3.1: kaomoji
85-hundred,,,,,,,,,,,,,,,CUT,CUT v3.1: не наш элемент
86-check,,,,,,,,,,,,,,,CUT,CUT v3.1: не наш элемент
88-heart,,,,,,,,,,,,,,,CUT,CUT v3.1: простое сердце → трайбл 26/04
89-broken-heart,,,,,,,,,,,,,,,CUT,CUT v3.1: не наш
113-cocktail,,,,,,,,,,,,,,,CUT,CUT v3.1: не наш
45-buckle-lock,,,,,,,,,,,,,,,CUT,CUT v3.1: ремни убрать
135-latexx-pants,,,,,,,,,,,,,,,CUT,CUT v3.1: штаны убрать
137-tee-daynight,,,,,,,,,,,,,,,CUT,CUT v3.1: переворот «странный»
48-board-payme,,,,,,,,,,,,,,,CUT,CUT v3.1: чужой текст на табло
94-lol,,,,,,,,,,,,,,,CUT,CUT v3.1: текст
95-omg,,,,,,,,,,,,,,,CUT,CUT v3.1: текст
96-wtf,,,,,,,,,,,,,,,CUT,CUT v3.1: текст
97-ok,,,,,,,,,,,,,,,CUT,CUT v3.1: текст
98-no,,,,,,,,,,,,,,,CUT,CUT v3.1: текст
99-yes,,,,,,,,,,,,,,,CUT,CUT v3.1: текст
115-gm,,,,,,,,,,,,,,,CUT,CUT v3.1: текст
116-gn,,,,,,,,,,,,,,,CUT,CUT v3.1: текст
117-xoxo,,,,,,,,,,,,,,,CUT,CUT v3.1: текст
118-soon,,,,,,,,,,,,,,,CUT,CUT v3.1: текст
46-eyelets-wow,,,,,,,,,,,,,,,CUT,CUT v3: морда «0_0» (НЕТ 2)
55-rofl,,,,,,,,,,,,,,,CUT,CUT v3: дубль 54
62-scream,,,,,,,,,,,,,,,CUT,CUT v3: «0_0» сверх лимита
63-flushed,,,,,,,,,,,,,,,CUT,"CUT v3: «0_0», штриховка"
64-think,,,,,,,,,,,,,,,CUT,CUT v3: «0_0»
65-eyeroll,,,,,,,,,,,,,,,CUT,CUT v3: «0_0»
66-smirk,,,,,,,,,,,,,,,CUT,CUT v3: НЕТ 2
67-unamused,,,,,,,,,,,,,,,CUT,CUT v3: НЕТ 2
69-peek,,,,,,,,,,,,,,,CUT,CUT v3: «0_0»
70-party,,,,,,,,,,,,,,,CUT,CUT v3: троп
71-devil,,,,,,,,,,,,,,,CUT,CUT v3: лимит лиц
74-dizzy,,,,,,,,,,,,,,,CUT,CUT v3: ✦ декоративны
76-sleep,,,,,,,,,,,,,,,CUT,CUT v3: троп
77-grimace,,,,,,,,,,,,,,,CUT,CUT v3: шум
78-clown,,,,,,,,,,,,,,,CUT,CUT v3: троп
79-moai,,,,,,,,,,,,,,,CUT,CUT v3: троп
80-salute,,,,,,,,,,,,,,,CUT,CUT v3: троп
81-angel,,,,,,,,,,,,,,,CUT,CUT v3: троп
82-nausea,,,,,,,,,,,,,,,CUT,CUT v3: лимит лиц
100-huff,,,,,,,,,,,,,,,CUT,CUT v3: пар уже в 60
101-raised-brow,,,,,,,,,,,,,,,CUT,CUT v3: «0_0»
103-yawn,,,,,,,,,,,,,,,CUT,CUT v3: лимит лиц
104-drool,,,,,,,,,,,,,,,CUT,CUT v3: кринж
105-nerd,,,,,,,,,,,,,,,CUT,CUT v3: троп
106-woozy,,,,,,,,,,,,,,,CUT,CUT v3: НЕТ 5
107-hug,,,,,,,,,,,,,,,CUT,CUT v3: руки
108-yum,,,,,,,,,,,,,,,CUT,CUT v3: кринж
34-kao-squeeze,,,,,,,,,,,,,,,CUT,CUT v3: НЕТ 2
35-kao-happy,,,,,,,,,,,,,,,CUT,CUT v3: ✦ декоративны
36-kao-cry,,,,,,,,,,,,,,,CUT,CUT v3: «0_0»
37-kao-meh,,,,,,,,,,,,,,,CUT,CUT v3: НЕТ 2
38-kao-tear,,,,,,,,,,,,,,,CUT,CUT v3: НЕТ 2
39-kao-wink,,,,,,,,,,,,,,,CUT,CUT v3: ✦ декоративна
40-kao-shock,,,,,,,,,,,,,,,CUT,CUT v3: «0_0»
42-kao-tongue,,,,,,,,,,,,,,,CUT,CUT v3: НЕТ 2
91-zap,,,,,,,,,,,,,,,CUT,CUT v3: заменён 136-flash
92-question,,,,,,,,,,,,,,,CUT,CUT v3: без вещи
93-exclaim,,,,,,,,,,,,,,,CUT,CUT v3: удар как 87
110-popper,,,,,,,,,,,,,,,CUT,CUT v3: троп
126-thumbs-up,,,,,,,,,,,,,,,CUT,CUT v3: пиктограмма
128-victory,,,,,,,,,,,,,,,CUT,CUT v3: пиктограмма
129-rock,,,,,,,,,,,,,,,CUT,CUT v3: пиктограмма
130-wave,,,,,,,,,,,,,,,CUT,CUT v3: пиктограмма
23-dot-star,,,,,,,,,,,,,,,CUT,CUT v3: пунктир
24-print-scan,,,,,,,,,,,,,,,CUT,CUT v3: каша
30-club-banner,,,,,,,,,,,,,,,CUT,CUT v3: Σ29
31-cyber-butterfly,,,,,,,,,,,,,,,CUT,CUT v3: Σ29
120-new,,,,,,,,,,,,,,,CUT,"CUT v3: Σ30, дубль механики 48"
119-sold-out,,,,,,,,,,,,,,,CUT,CUT v2: 7 букв на 24px
127-thumbs-down,,,,,,,,,,,,,,,CUT,CUT v2: читается как F
